template	group
COLLAPSE	tree_sturcture
PRUNE	tree_sturcture
SPACING	tree_sturcture
TREE_COLORS	theme_style
DATASET_STYLE	theme_style
LABELS	text
DATASET_TEXT	text
DATASET_COLORSTRIP	text
DATASET_BINARY	basic_plot
DATASET_GRADIENT	basic_plot
DATASET_HEATMAP	basic_plot
DATASET_SYMBOL	basic_plot
DATASET_EXTERNALSHAPE	basic_plot
DATASET_DOMAINS	basic_plot
DATASET_SIMPLEBAR	basic_plot
DATASET_MULTIBAR	basic_plot
DATASET_BOXPLOT	basic_plot
DATASET_LINECHART	basic_plot
DATASET_PIECHART	basic_plot
DATASET_ALIGNMENT	advanced_plot
DATASET_CONNECTIONS	advanced_plot
DATASET_IMAGE	advanced_plot
POPUP_INFO	advanced_plot
