ID	New_name	Gene_name	Substrate	Species
Seq100	52	cbdA	Benzoate/Halobenzoate	Aminobacter
Seq101	63	cbdA	Benzoate/Halobenzoate	Bordetella
Seq102	57	cbeA	Chlorobenzoate/Phenylpropionate	Herbaspirillum
Seq113	61	CmtAb	p-cumate	gammaproteobacterium BDW918
Seq116	60	CmtAb	p-cumate	Sphingomonas
Seq118	11	Daro_3246	Phenylpropionate 	Dechloromonas
Seq120	9	dfdA1	Dibenzofuran 	Rhodococcus
Seq127	17	dbfA1	dibenzofuran 	Paenibacillus
Seq132	14	dntAc	Dinitrotoluene	Burkholderia
Seq134	111	doxB	Naphthalene	Mycolicibacterium
Seq136	78	doxB	Naphthalene	Tritonibacter
Seq138	107	doxB	Naphthalene	Shewanella
Seq141	74	doxB	Naphthalene	Thalassobius
Seq142	73	doxB	Naphthalene	Shimia
Seq143	75	doxB	Naphthalene	Phaeobacter
Seq146	109	doxB	Naphthalene	Labrenzia
Seq147	76	doxB	Naphthalene	Phaeobacter
Seq148	81	doxB	Naphthalene	Yoonia
Seq149	85	doxB	Naphthalene	Grimontia
Seq150	77	doxB	Naphthalene	Epibacterium
Seq151	82	doxB	Naphthalene	Agrobacterium
Seq153	92	doxB	Naphthalene	Streptomyces
Seq154	91	doxB	Naphthalene	Chlamydia
Seq155	83	doxB	Naphthalene	Rhizobium
Seq157	94	doxB	Naphthalene	Streptomyces
Seq158	88	doxB	Naphthalene	Aquimixticola
Seq159	89	doxB	Naphthalene	Roseovarius
Seq160	106	doxB	Naphthalene	Roseovarius
Seq162	80	doxB	Naphthalene	Pseudooceanicola
Seq165	108	doxB	Naphthalene	Roseovarius
Seq167	79	doxB	Naphthalene	Granulosicoccus
Seq168	6	dxnA1	Dioxin/Dibenzofuran/Phthalate	Sphingobium
Seq171	3	dxnA	Dioxin/Dibenzofuran/Phthalate	Xanthobacter
Seq172	34	dxnA	Dioxin/Dibenzofuran/Phthalate	Terrabacter
Seq173	2	dxnA	Dioxin/Dibenzofuran/Phthalate	Cycloclasticus
Seq174	13	ebdA1	Ethylbenzene 	Rhodococcus
Seq191	84	gbcA	Phenylpropionate	Pseudomonas
Seq193	37	hcaA	Phenylpropionate	Thermomicrobium
Seq194	4	hcaA	Phenylpropionate	Acinetobacter
Seq196	7	hcaA	Phenylpropionate	Streptomyces
Seq197	5	hcaA	Phenylpropionate	Mycobacterium
Seq198	16	hcaA	Phenylpropionate	Rhodobacterales
