ID	Phylum	NS-HeS	NS-HoS	NS-DL	NS-HD	NS-DR	NS-bar	OS-HeS	OS-HoS	OS-DL	OS-HD	OS-DR	OS-bar
Bin1	 Firmicutes	0	0	0	0.02415149	1.946506177	1.946653984	0	1.275082764	2.509315356	0.429778906	0.554783775	2.900859565
Bin2	 Firmicutes	0.416452737	0.295136077	0.417618294	0.03689201	0.063898835	0.663607992	0	0	0	0.171911562	0.091436064	0.194696644
Bin3	 Bacteroidetes	0.060779916	0.146244532	0.286104271	0	0.069719345	0.33435049	0	0	0	0.093538317	0.088188771	0.128546619
Bin4	 Bacteroidetes	0	0.13803726	0	0.373372967	0	0.398047778	0	0	1.320625002	0	1.253397933	1.820718951
Bin5	 Bacteroidetes	0	0.055775476	0	0.245110848	0	0.25135516	0.896754488	0	0.434950379	0.272530413	0.694958849	1.245216467
Bin6	 Bacteroidetes	0	0	0	0.12855612	0	0.128527494	0	0	0.465817061	0.175271715	0.424315393	0.654006333
Bin7	 Bacteroidetes	0	0.054004372	0	0.120757448	0.082493041	0.155883022	0	0	0.359037704	0	0.321617084	0.482004097
Bin8	 Nitrospirae	0	0	0	0.249435511	0.216017489	0.329959518	0	0	1.129453388	0	1.112367724	1.585247073
Bin9	 Planctomycetes	0	0.02415149	0	0.173599769	0.122356954	0.213740575	0	0	0.514602447	0.186034416	0.447509136	0.706867692
Bin10	 Planctomycetes	0	0.02415149	0	0.152747432	0.057492045	0.164966764	0	0	0.41010149	0.197688462	0.329677416	0.562075262
Bin11	 Planctomycetes	0	0.02415149	0	0	0.140826174	0.142864971	0	0	0.203025797	0.062358878	0.130805086	0.249408968
Bin12	 Planctomycetes	0	0.044094385	0	0.118317652	0.091436064	0.155875164	0	0.301974113	0.237455532	0	0.184986326	0.426351733
Bin13	 Elusimicrobia	0.039439217	0	0	0.188113077	0.311794389	0.366259403	0	0	0.543810891	0.120757448	0.500621794	0.748929636
Bin14	 Proteobacteria	0.073784019	0.075090033	0	0.201101338	0	0.226949737	0	0	1.02494551	0.380082348	0.839995148	1.378579861
Bin15	 Proteobacteria	0.218256072	0.019719609	0	0.116662778	0.106193342	0.27000642	0	0.950845094	0	0	0	0.950832197
Bin16	 Proteobacteria	0	1.450966606	0	0.680969225	2.901933211	3.315149466	0	0	0	0.286443861	1.329283007	1.359781147
Bin17	 Proteobacteria	0	0.083663214	0	0.167906417	0.33696882	0.385658809	0	0	0.440281941	0	0.508138769	0.672336622
Bin18	 Proteobacteria	0.141514814	0	0	0.391174611	0	0.415973196	0	0	1.830527838	0	1.783289468	2.555569861
Bin19	 Proteobacteria	0	7.709837403	0	0	0	7.709836609	0	5.048181295	0	0	0	5.048178376
Bin20	 Proteobacteria	0.625145807	0.396849469	0	1.3311101	1.047369287	1.848541934	0	3.561341665	1.725775607	0	1.705774643	4.309417513
Bin21	 Proteobacteria	0	3.405959478	0	0	2.807569541	4.413953617	0	2.45142576	1.077474074	0	0.928707734	2.834239175
Bin22	 Acidobacteria	0	0.158371908	0	0.279225759	0	0.320991355	0	0.686372699	0.386423833	0.169634488	0.336102204	0.873004019
Bin23	 Chloroflexi	0	0	0	0.163208802	0.059158826	0.173572943	0.218256072	0	0.375450163	0.09559435	0.352203472	0.567237663
Bin24	 Chloroflexi	0	0	0	0.206821	0	0.206796075	0	0	0.686231047	0.152747432	0.452478012	0.836035974
Bin25	 Actinobacteria	0	0.140134149	0	0.087079434	0.398072428	0.430898751	0	1.350037302	1.819714971	0	1.252622075	2.589016274
Bin26	 Actinobacteria	0	0.733479319	0	0.060779916	0.576440286	0.934858385	0	1.417687636	2.462465155	0	1.191446286	3.079983969
Bin27	 Actinobacteria	0	0.041831607	0	0.09559435	0.102466092	0.146232805	0	0	0.271816047	0	0.305494863	0.408889268
