ID	NS	OS	Phylum	Class	Genus	Dissimilarity
OTU_240	0.044083251	0.062343139	 Proteobacteria	 Gammaproteobacteria	 Enhydrobacter	0.0468188
OTU_340	0	0.069701743	 Proteobacteria	 Gammaproteobacteria	 Thermomonas	0.057341085
OTU_463	0.044083251	0.05399074	 Proteobacteria	 Gammaproteobacteria	 Unassigned	0.044418465
OTU_292	0	0.062343139	 Proteobacteria	 Alphaproteobacteria	 Unassigned	0.051283526
OTU_448	0	0.062343139	 Proteobacteria	Others	 Unassigned	0.051283526
OTU_552	0	0.062343139	 Proteobacteria	 Betaproteobacteria	 Nitrosomonas	0.051283526
OTU_444	0.044083251	0.044083251	 Proteobacteria	Others	Unassigned	0.041880783
OTU_434	0.044083251	0.044083251	Others	Others	 Unassigned	0.041880783
OTU_574	0.031171574	0.05399074	 Planctomycetes	Others	 SM1A02	0.044418465
OTU_765	0	0.062343139	 Bacteroidetes	Others	 Marinoscillum	0.051283526
OTU_2923	0	0.062343139	 Proteobacteria	Others	Unassigned	0.051283526
OTU_384	0.031171574	0.05399074	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_403	0.044083251	0.044083251	 Bacteroidetes	Others	 Unassigned	0.041880783
OTU_913	0.031171574	0.05399074	 Actinobacteria	 Actinobacteria	 Modestobacter	0.044418465
OTU_529	0.031171574	0.05399074	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_616	0.031171574	0.05399074	 Proteobacteria	 Alphaproteobacteria	Unassigned	0.044418465
OTU_965	0.044083251	0.044083251	 Planctomycetes	Others	 Singulisphaera	0.041880783
OTU_613	0	0.062343139	 Proteobacteria	Others	 Unassigned	0.051283526
OTU_1012	0	0.062343139	 Planctomycetes	Others	 Unassigned	0.051283526
OTU_626	0	0.062343139	 Proteobacteria	 Alphaproteobacteria	 Unassigned	0.051283526
OTU_515	0.031171574	0.044083251	 Planctomycetes	Others	 SM1A02	0.039166312
OTU_665	0	0.05399074	Others	Others	 Unassigned	0.044418465
OTU_3560	0	0.05399074	 Proteobacteria	 Betaproteobacteria	Unassigned	0.044418465
OTU_815	0.031171574	0.044083251	 Planctomycetes	Others	 SM1A02	0.039166312
OTU_682	0	0.05399074	 Proteobacteria	Others	 Bdellovibrio	0.044418465
OTU_532	0.031171574	0.044083251	Others	Others	 Unassigned	0.039166312
