ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	All	Asia	North_America	South_America
ASV_15	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	3.197525	4.099780	3.083571	3.053209
ASV_28	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	2.34312	2.384751	1.993224	2.692216
ASV_36	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	1.103761	0.7953462	0.9891339	1.3116266
ASV_45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unassigned	1.133616	0.566492	1.036144	1.398881
ASV_52	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unassigned	1.154623	0.6535957	1.0848633	1.3720936
ASV_46	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.790691	0.3439482	0.4233869	1.2995435
ASV_55	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.599027	0.4718704	0.5049504	0.7330550
ASV_80	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.522826	1.0590807	0.4768570	0.4145918
ASV_85	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Unassigned	0.461347	0.4655077	0.4175075	0.5053916
ASV_108	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.317717	0.4095052	0.2906158	0.3190450
ASV_155	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.342264	0.2812074	0.2529981	0.4521356
ASV_171	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_putida	0.21554	0.1974108	0.2223864	0.2137369
ASV_120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	0.24111	0.1806687	0.3027538	0.1950259
ASV_111	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	0.258701	0.8903840	0.1112881	0.2274771
ASV_132	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Schumannella	Unassigned	0.213568	0.2459355	0.2416718	0.1751617
ASV_118	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.262918	0.1672016	0.1745925	0.3818820
ASV_117	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Schumannella	Unassigned	0.167179	0.1564171	0.2135773	0.1224076
ASV_157	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.223535	0.1375417	0.1946060	0.2783627
ASV_177	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.241989	0.1657265	0.2382556	0.2679834
ASV_193	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.197807	0.1277649	0.2578698	0.1561417
ASV_162	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Herbiconiux	Unassigned	0.161175	0.10426815	0.25713606	0.07864005
ASV_207	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Methylobacterium_sp._XJLM	0.161709	0.1707881	0.2152550	0.1037995
ASV_243	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.148313	0.1091525	0.1344865	0.1739546
ASV_232	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Pseudokineococcus	Pseudokineococcus_lusitanus	0.134372	0.1025973	0.1348620	0.1430904
ASV_238	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.127428	0.07614746	0.11114272	0.15912642
ASV_285	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia	Unassigned	0.094171	0.06508306	0.08391030	0.11320859
ASV_520	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.059964	0.02649605	0.03946876	0.09083746
ASV_56	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Unassigned	0.787836	0.8176022	0.7125379	0.8569216
ASV_181	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	Unassigned	0.22579	0.1717070	0.2083793	0.2594642
ASV_161	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae_uncultured	Unassigned	0.222098	0.2437925	0.2582352	0.1784978
ASV_144	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	Unassigned	0.179237	0.1103830	0.1573244	0.2218473
ASV_179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	0.133893	0.09213371	0.15017138	0.12921371
ASV_235	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae_uncultured	Unassigned	0.137696	0.1160379	0.1648464	0.1159588
ASV_265	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Pseudokineococcus	Unassigned	0.109402	0.08105017	0.11279167	0.11413389
ASV_250	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.103873	0.21785479	0.07432273	0.10128603
ASV_275	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Beutenbergiaceae	Salana	Unassigned	0.081409	0.05623065	0.08287373	0.08720762
ASV_340	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.094317	0.04672525	0.06772050	0.13558907
ASV_446	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Beutenbergiaceae	Salana	Unassigned	0.05048	0.02940160	0.05484636	0.05209138
ASV_990	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	0.042814	0.01508141	0.02973974	0.06436227
ASV_114	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.337385	0.5949757	0.3712999	0.2275923
ASV_93	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.205217	0.04628127	0.31110818	0.14205204
ASV_149	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Methylobacterium_sp._XJLM	0.2611	0.3153508	0.3285363	0.1757377
ASV_125	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.226804	1.20057949	0.07791073	0.09779081
ASV_169	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	0.152347	0.51429008	0.06830761	0.13401705
ASV_158	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Unassigned	0.105508	0.08915601	0.02932209	0.18889801
ASV_220	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Herbiconiux	Unassigned	0.109285	0.05635384	0.16789764	0.06414927
ASV_190	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Unassigned	0.077035	0.04361793	0.01635855	0.14936953
ASV_301	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia	Unassigned	0.102239	0.08678157	0.10416368	0.10473910
ASV_253	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	Unassigned	0.083472	0.06979666	0.07517184	0.09601004
ASV_388	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.0612	0.07319149	0.05789886	0.06112553
ASV_565	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Unassigned	0.034006	0.04769757	0.03270269	0.03137666
ASV_552	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.031406	0.02023742	0.03340164	0.03258937
ASV_76	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.59302	0.1921315	0.2520890	1.0613362
ASV_74	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.442886	2.4698304	0.1361471	0.1710523
ASV_95	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned	0.131067	0.04535226	0.04931972	0.24033533
ASV_139	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned	0.127938	0.1780109	0.1068284	0.1351921
ASV_83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unassigned	0.197426	0.1362753	0.1999670	0.2125555
ASV_191	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.106934	0.06234757	0.08117384	0.14646911
ASV_244	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unassigned	0.106344	0.12445325	0.14110722	0.06520157
ASV_272	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Unassigned	0.094193	0.02789512	0.07924658	0.12886845
ASV_247	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Falsirhodobacter	Unassigned	0.055631	0.04511758	0.03944337	0.07539216
ASV_598	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Unassigned	Unassigned	0.06625	0.08890737	0.07628939	0.04930903
ASV_534	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Unassigned	0.061191	0.04820756	0.05616146	0.07015231
ASV_501	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.059038	0.06974581	0.04503736	0.07038140
ASV_612	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.036697	0.05391141	0.02802762	0.04064720
ASV_94	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned	0.230621	0.3226822	0.1916557	0.2441155
ASV_140	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.110772	0.02684629	0.07900359	0.16793112
ASV_279	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.103281	0.07308069	0.12428705	0.09036449
ASV_163	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unassigned	0.157136	0.01721206	0.03002388	0.32897143
ASV_838	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Unassigned	Unassigned	0.104012	0.16460392	0.13271935	0.05678688
ASV_392	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.062233	0.13244205	0.03913402	0.06569315
ASV_372	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Unassigned	0.045186	0.03093287	0.03834102	0.05638915
ASV_449	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.049077	0.05178206	0.04504083	0.05245725
ASV_461	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Unassigned	0.062174	0.02747739	0.03330116	0.10205060
ASV_427	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned	0.052042	0.02705481	0.04203113	0.06962983
