DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,binary_data

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,rl0,rl1,rl2
FIELD_COLORS,#000,#000,#66f
FIELD_SHAPES,4,5,6

#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,1

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#symbol height factor; Default symbol height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#increase/decrease the spacing between individual levels, when there is more than one binary level defined 
SYMBOL_SPACING,10

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#Actual data follows after the "DATA" keyword
DATA

#Example dataset with 4 columns (circle, left triangle, right triangle and rectangle):
#FIELD_SHAPES,2,4,5,1
#FIELD_LABELS,f1,f2,f3,f4
#FIELD_COLORS,#ff0000,#00ff00,#ffff00,#0000ff
#DATA
#node 9606 will have a filled circle, empty left triangle, nothing in the 3rd column and an empty rectangle
#9606,1,0,-1,0
I149,1,1,1
I110,-1,-1,-1
I78,-1,-1,0
I64,0,1,1
I59,1,0,-1
I54,1,1,1
I42,0,0,0
I34,0,0,0
I33,1,-1,-1
I29,0,0,-1
I26,0,1,0
I25,1,1,0
I20,0,-1,1
I17,1,0,0
I12,-1,1,0
I8,0,0,0
I5,-1,0,0
I1,1,0,0
155864,-1,1,1
83334,0,-1,0
I4,0,-1,1
I2,1,-1,-1
217992,1,-1,1
562,-1,1,0
I3,-1,1,-1
198215,1,1,1
623,1,1,1
I7,-1,-1,1
I6,-1,1,1
209261,-1,0,1
601,0,1,-1
602,0,0,0
I11,-1,-1,1
I10,-1,0,0
229193,0,0,-1
I9,-1,-1,-1
187410,1,1,1
632,-1,1,0
141679,-1,1,1
I16,1,0,0
I13,0,0,1
203907,1,-1,0
36870,-1,1,0
I15,1,1,1
135842,0,-1,1
I14,1,0,0
118099,1,1,1
98794,1,1,-1
I19,0,0,-1
I18,0,-1,-1
747,1,1,0
727,1,0,0
730,1,1,1
I24,0,-1,0
I23,1,1,-1
I22,0,-1,1
I21,-1,-1,0
196600,0,0,-1
672,0,0,-1
670,1,1,0
666,0,-1,-1
74109,-1,1,1
70863,0,0,0
I28,0,1,0
I27,0,1,1
160488,0,-1,-1
323,-1,1,-1
287,0,0,0
I32,1,0,1
I30,1,0,-1
183190,0,1,0
2371,-1,-1,1
I31,0,0,-1
92829,-1,1,0
340,-1,0,-1
777,1,0,0
I41,-1,1,0
I40,-1,1,-1
I36,1,-1,-1
