DATASET_EXTERNALSHAPE
#Nodes have multiple values associated with them. Values will be displayed as geometric shapes of different size.
#Highest value in the dataset will have the largest size, and all others will be scaled down proportionally.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example shapes dataset

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
#FIELD_COLORS,#ff0000,#00ff00,#0000ff

#field labels
#FIELD_LABELS,f1,f2,f3

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0

SHAPE_TYPE,4

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#shape height factor; Default shape height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
#HEIGHT_FACTOR,1

#vertical and horizontal grids can be displayed connecting the shapes
HORIZONTAL_GRID,1
VERTICAL_GRID,1

#horizontal spacing between shape columns
SHAPE_SPACING,10

#if set to 0, only outlines will be shown
COLOR_FILL,1

#if COLOR_FILL is used, this setting can be used to control the color transparency
TRANSPARENT_FILL,1

#if set to 1, actual numeric value will be show in the center of each shape
SHOW_VALUES,1

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
FIELD_LABELS,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14,rl15,rl16,rl17,rl18,rl19,rl20,rl21,rl22,rl23,rl24,rl25,rl26,rl27,rl28,rl29,rl30,rl31,rl32,rl33,rl34,rl35,rl36,rl37,rl38,rl39,rl40,rl41,rl42,rl43,rl44,rl45,rl46,rl47,rl48,rl49
FIELD_COLORS,#9e44d8,#83b387,#b37883,#a1f4d5,#4ae92f,#8548a5,#8b59e5,#706b14,#2c5e3f,#a2bdda,#b7e975,#ecafb9,#ceee4e,#d8fa94,#90507e,#7e086d,#c68f65,#8c8943,#14fc7a,#20ac07,#d09bc1,#c3133d,#c5a959,#7ea35c,#e69c99,#c5fd9d,#b6f88f,#3b1fab,#abb41e,#0c4e9e,#86ddae,#f76721,#472b37,#d03983,#37b63d,#8e3fce,#173835,#cae3cc,#e1e503,#b77df3,#f7e151,#2c2f33,#e6c16d,#0fa61a,#e8fd50,#1995e8,#dc7e6d,#1fa3e3,#9d199a,#b837e7
DATA
#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#ID1,value1,value2,value3
#ID2,value4,value5,value6
#9606,10,10,20,40
#LEAF1|LEAF2,50,60,80,90
I149,73,46,77,69,0,37,62,38,87,41,81,33,83,84,17,8,9,80,92,54,41,35,25,55,22,44,72,4,55,66,53,45,84,67,35,33,78,39,13,70,62,73,78,77,77,78,25,15,81,84
I110,87,21,36,6,54,45,57,19,58,31,91,41,59,77,17,7,60,52,44,40,95,77,93,74,12,27,52,96,25,8,60,91,56,25,88,62,27,47,7,78,71,18,92,64,56,37,91,76,5,9
I78,64,73,55,5,15,48,32,65,13,15,56,16,8,9,40,63,41,9,15,67,11,22,93,36,73,30,4,70,47,53,29,19,3,92,8,14,43,81,55,60,61,78,9,3,100,56,75,83,14,84
I64,15,15,4,98,73,74,58,25,92,48,22,50,7,24,48,30,29,70,16,47,83,84,79,80,64,46,68,88,93,95,47,42,89,98,61,74,95,18,43,72,46,42,0,58,39,7,71,9,7,77
I59,71,69,96,50,84,55,64,77,73,98,18,34,82,36,24,48,77,10,70,12,34,72,5,74,23,5,43,22,32,90,76,30,34,59,7,67,28,37,97,69,90,58,48,98,59,29,81,71,2,63
I54,91,5,69,5,40,67,63,56,2,9,12,85,56,89,52,100,41,52,15,55,84,38,77,68,79,31,53,73,31,79,72,10,9,96,39,66,57,33,70,84,13,70,86,71,67,70,38,17,45,12
