DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap_60

#dataset color (can be changed later)
COLOR #ff0000

#define labels for each individual field column

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
#FIELD_TREE (((f1,f5),(f2,f3)),(f4,f7));
FIELD_TREE (440-16843009:0.16,(((((((((590-16843009:0.55,530-16843009:0.98):0.54,490-16843009:0.11):0.25,510-16843009:0.23):0.60,(50-16843009:0.42,((420-16843009:0.43,(250-16843009:0.40,40-16843009:0.38):0.03):0.82,(220-16843009:0.06,270-16843009:0.97):0.46):0.21):0.85):0.06,180-16843009:0.10):0.82,110-16843009:0.71):0.19,(((0-1635528704-1:0.10,310-16843009:0.53):0.61,(((580-16843009:0.78,350-16843009:0.38):0.42,(500-16843009:0.97,((30-16843009:0.02,550-16843009:0.23):0.30,(((460-16843009:0.27,90-16843009:0.40):0.85,(320-16843009:0.07,(190-16843009:0.34,((170-16843009:0.97,280-16843009:0.86):0.08,((380-16843009:0.98,70-16843009:0.65):0.40,520-16843009:0.90):0.66):0.89):0.92):0.85):0.11,((370-16843009:0.60,140-16843009:0.60):0.47,(120-16843009:0.61,((80-16843009:0.40,60-16843009:0.85):0.56,300-16843009:0.77):0.46):0.42):0.18):0.95):0.24):0.41):0.46,((360-16843009:0.26,((340-16843009:0.14,400-16843009:0.57):0.67,430-16843009:0.10):0.96):0.81,(((100-16843009:0.97,130-16843009:0.21):0.69,160-16843009:0.07):0.31,(560-16843009:0.30,540-16843009:0.44):0.09):0.72):0.10):0.46):0.79,((240-16843009:0.39,((390-16843009:0.09,470-16843009:0.01):0.14,20-16843009:0.58):0.77):0.87,(260-16843009:0.88,((210-16843009:0.17,(570-16843009:0.18,150-16843009:0.64):0.23):0.36,(330-16843009:0.95,((10-16843009:0.86,(290-16843009:0.24,200-16843009:0.13):0.62):0.42,480-16843009:0.02):0.77):0.41):0.85):0.69):0.47):0.05):0.16,410-16843009:0.91):0.84,(230-16843009:0.81,450-16843009:0.59):0.63):0.09);


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN 0

#width of the individual boxes
STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL 0

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
SHOW_TREE 1

#if a FIELD_TREE is present, it will have this height in pixels 
TREE_HEIGHT 1000

#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
COLOR_MIN #ff0000
COLOR_MAX #0000ff

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
USE_MID_COLOR 1
COLOR_MID #ffff00

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
FIELD_LABELS 440-16843009 590-16843009 530-16843009 490-16843009 510-16843009 50-16843009 420-16843009 250-16843009 40-16843009 220-16843009 270-16843009 180-16843009 110-16843009 0-1635528704-1 310-16843009 580-16843009 350-16843009 500-16843009 30-16843009 550-16843009 460-16843009 90-16843009 320-16843009 190-16843009 170-16843009 280-16843009 380-16843009 70-16843009 520-16843009 370-16843009 140-16843009 120-16843009 80-16843009 60-16843009 300-16843009 360-16843009 340-16843009 400-16843009 430-16843009 100-16843009 130-16843009 160-16843009 560-16843009 540-16843009 240-16843009 390-16843009 470-16843009 20-16843009 260-16843009 210-16843009 570-16843009 150-16843009 330-16843009 10-16843009 290-16843009 200-16843009 480-16843009 410-16843009 230-16843009 450-16843009
DATA
#ID1 value1 value2 value3 value4 value5 value6
#9606 100 300 250 100 50 210
155864 999 413 562 -438 788 -380 679 71 963 -848 -211 961 -912 -317 -810 -543 115 -564 193 630 61 -596 -190 -430 313 974 886 -29 -274 -210 131 -618 920 -386 396 126 -74 719 479 353 -306 -811 -549 459 350 434 -341 379 -461 377 -27 659 -459 711 -337 -596 -971 172 914 993
83334 -705 321 -821 -918 -813 720 675 -703 -638 -643 405 -206 -830 833 289 361 532 382 -400 607 -936 242 -806 -850 44 -98 -233 658 879 -148 -35 856 550 -698 -978 889 443 279 124 336 705 -617 195 181 -912 -120 -785 761 -696 658 825 638 -989 156 -296 -430 380 -655 -550 240
217992 3 -113 -909 -173 -829 50 268 -540 -451 444 -740 -330 -23 -917 176 -793 636 795 39 938 674 -30 -101 -854 441 555 631 -117 249 -18 -228 -670 666 218 603 486 56 0 -128 713 579 -885 1 927 900 -747 251 -690 363 -447 555 359 267 787 -599 559 -670 -754 258 905
562 994 245 961 520 11 532 335 -431 -246 127 269 95 -744 -345 675 835 -996 972 -123 -690 130 149 -115 994 -470 403 69 830 -636 -487 103 -16 -396 673 -391 -281 153 -962 -550 358 809 723 505 -778 -888 -448 -8 472 392 -731 -207 329 858 3 -306 -758 436 0 -734 181
198215 -452 358 -743 -337 -315 -415 211 -607 -833 -834 -387 549 340 -618 -714 747 655 -96 895 663 872 82 -200 392 765 -183 -230 709 -37 -137 385 131 216 731 123 -410 196 -82 -729 -437 -438 -76 206 -875 288 -199 -637 -135 132 -253 246 870 -102 -659 262 -996 -223 -22 832 -757
623 -774 -627 947 808 888 -385 863 -424 -819 218 853 487 -285 310 963 418 -276 28 -705 -729 -709 -878 294 -81 -464 1 -808 -57 -575 668 253 289 471 37 288 372 -532 298 -776 -334 754 100 509 295 290 -330 178 -189 658 -344 -918 -784 -990 682 924 -992 -550 10 -351 318
209261 -248 460 439 -556 837 -825 -262 857 -569 263 983 390 -121 695 -628 -126 844 203 773 627 -829 774 57 203 892 290 477 -596 -354 806 584 -663 -836 -71 -321 114 -68 668 -311 98 500 -446 483 -680 -145 -827 -463 -378 -202 -338 62 -613 24 678 -800 247 -493 76 -286 -735
601 231 -859 -689 64 147 721 523 -221 -225 -3 802 -2 333 356 -280 -79 -239 -45 -403 746 -697 615 -390 673 978 826 221 -597 -474 -79 726 813 62 -629 379 -738 950 -313 21 -155 -526 -317 -66 -182 -565 -594 958 -967 -321 -537 283 -319 436 -931 -18 946 -779 549 -96 -746
602 267 -355 215 508 15 633 770 -486 -177 -659 -696 -580 108 -542 597 582 365 -872 493 293 -104 -538 -277 596 -866 597 -83 876 -512 235 -819 280 64 256 -875 563 -308 227 891 -486 319 -937 901 -73 261 -494 -896 672 900 630 451 386 960 55 844 302 145 -793 496 935
229193 -897 -450 -843 910 -824 318 -985 -881 -983 -108 935 -544 -604 -361 747 219 857 342 834 -743 943 -992 -220 -578 267 -936 -509 734 -117 -657 -509 321 143 703 -664 83 791 -815 -674 -456 -693 118 -291 824 -889 -301 -494 -362 -3 -569 28 769 -978 662 440 235 -280 -149 126 362
187410 -364 694 -271 35 -861 483 -847 438 -982 -452 97 668 -357 506 485 -845 833 -38 957 849 303 -496 -516 289 -869 413 857 -621 -826 -302 214 -798 -727 825 377 -32 -258 -115 -369 -878 -919 -792 -88 -512 -769 984 957 622 213 -298 -388 140 -116 113 488 -497 730 43 660 -485
632 -73 791 -903 216 880 226 -754 -151 567 -266 237 -922 -45 719 68 -588 776 183 984 -631 -90 957 -223 347 -406 -893 87 -609 -913 -173 -368 -422 442 9 679 622 87 862 -686 226 765 962 71 40 974 433 -518 -563 -944 -912 7 715 -281 222 519 615 -937 791 -759 -278
141679 814 -138 883 -723 -213 -108 51 -9 -469 -738 942 -91 -738 804 353 33 -179 611 106 788 984 -957 -691 187 310 482 -891 245 486 988 332 473 -818 -967 767 -388 -970 -333 -879 576 506 7 -793 -273 -678 613 -982 328 628 584 -803 276 -53 666 280 359 996 208 567 -525
203907 -993 -985 -46 710 -385 884 815 -310 203 -658 -880 24 955 650 -813 -334 -312 -9 726 -443 3 -105 882 -124 190 863 766 -148 -504 -808 83 -614 -75 803 -363 -267 -892 -251 -912 759 -869 -658 -716 258 -864 508 -67 -411 721 975 623 609 516 31 338 598 -254 -524 -613 -232
