DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9
FIELD_COLORS,#2a9087,#5c2936,#913e40,#2366a1,#658238,#a4f4e0,#a4fc16,#34ec51,#b778a5,#cdc6da
DATASET_SCALE,100,300,500,700

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1,value1,value2,value3
#ID2,value4,value5,value6
#9606,10000,15000,9000
#LEAF1|LEAF2,11000,9000,120007
I149,131,84,505,881,523,501,904,877,126,364
I110,369,605,923,474,932,789,640,345,906,160
I78,361,624,246,451,848,957,154,703,438,456
I64,871,844,986,721,149,48,192,851,711,636
I59,838,437,744,250,409,905,291,724,171,469
I54,59,223,645,652,968,562,763,900,982,44
I42,233,942,26,583,761,740,56,507,248,408
I34,936,370,704,618,678,469,577,644,834,261
I33,933,223,767,792,148,213,178,905,393,185
I29,134,795,741,62,839,991,754,48,863,945
I26,391,897,478,108,299,375,771,492,545,953
I25,865,434,494,813,692,333,899,265,331,336
I20,312,268,322,502,482,982,675,591,888,314
I17,220,783,676,260,297,279,751,61,175,151
I12,692,396,896,362,861,737,43,993,509,752
I8,523,488,539,409,516,875,688,244,531,415
I5,325,241,21,209,719,370,21,148,210,622
I1,32,844,330,260,956,778,595,486,7,9
155864,872,275,415,99,385,435,64,334,408,217
83334,89,823,629,687,993,774,311,729,603,201
I4,933,590,419,395,9,173,520,779,661,394
I2,630,627,916,944,324,350,523,390,474,696
217992,389,175,169,204,621,519,113,30,820,15
562,473,925,681,230,641,609,467,946,299,43
I3,453,590,250,273,422,78,299,447,208,189
198215,406,182,833,344,156,504,882,143,937,869
623,732,221,789,261,49,943,826,99,626,135
I7,841,661,327,230,40,761,133,134,778,523
I6,213,786,520,637,760,137,864,909,107,833
209261,610,690,729,709,869,104,793,374,980,975
