DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,0.5

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14,rl15,rl16,rl17,rl18,rl19,rl20,rl21,rl22,rl23,rl24,rl25,rl26,rl27,rl28,rl29,rl30,rl31,rl32,rl33,rl34,rl35,rl36,rl37,rl38,rl39,rl40,rl41,rl42,rl43,rl44,rl45,rl46,rl47,rl48,rl49
DATASET_SCALE,0,100,300-2nd-#ff0000,500,700-3rd-#ff0000
FIELD_COLORS,#ba1c7a,#b4c060,#667332,#8700c4,#6e744c,#1b7679,#36c0d5,#bfc2da,#1d98b7,#415a40,#88f99e,#63c100,#ebbb20,#1cdff2,#d61e3d,#490cd2,#bbdcd9,#087907,#a690ec,#f41b61,#87d2e1,#9a4c1d,#e2c55f,#7b148a,#a4f0ec,#be90cf,#8fa6fe,#35d17b,#e1da74,#eb30a5,#3f16ab,#8684e1,#8cb5d1,#3eeabb,#c2d78a,#06929d,#4246b7,#015cdf,#ae9948,#a2c83c,#9b895b,#298914,#837fb0,#78ba5c,#a6cb3d,#59f0c8,#f982a0,#de64b7,#b3e605,#da4180

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
I149,125,234,779,524,107,632,441,162,273,986,691,917,32,797,772,14,106,692,352,741,730,751,343,427,540,158,867,782,186,783,430,984,623,549,408,359,592,465,317,832,100,727,241,752,336,954,491,653,43,477
I110,97,566,878,38,403,855,57,648,417,156,184,1,250,939,505,415,268,221,459,971,369,435,841,820,268,0,199,238,570,118,246,869,833,798,22,229,989,294,828,581,101,106,797,40,833,612,47,58,786,983
I78,680,512,889,734,403,707,276,558,367,730,713,328,99,719,132,776,123,125,977,642,134,739,519,702,679,306,570,308,260,337,193,413,988,292,183,842,17,747,368,693,960,446,853,619,248,184,151,99,661,919
I64,740,548,793,737,162,400,168,448,220,378,826,851,463,700,764,687,575,144,352,753,630,698,53,21,516,427,254,411,424,266,703,227,702,555,565,533,406,690,804,161,464,266,179,759,916,334,499,828,234,261
I59,128,739,951,623,501,992,751,868,173,619,385,929,499,671,790,629,88,628,615,788,536,173,562,711,518,96,679,94,835,203,323,387,416,459,607,397,779,47,575,870,94,577,684,135,676,400,854,234,772,997
I54,167,809,683,73,8,371,176,830,325,871,491,86,894,739,252,669,439,114,586,31,415,533,536,389,179,990,192,257,291,895,506,339,671,651,760,208,848,937,884,489,893,771,68,964,20,65,410,934,697,12
