DATASET_SIMPLEBAR
#lines starting with a hash comments
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA). This separator must be used throught this file.
SEPARATOR COMMA

#label is used in the legend table
DATASET_LABEL,simple bar testing

#optional settings
LEGEND_TITLE,Example legend title
LEGEND_SHAPES,1,1,2,2
LEGEND_COLORS,#ff0000,#00ff00,#00ffff,#0000ff
LEGEND_LABELS,value1,value2,value3,value4

#dataset scale: you can simply set the values where the scale will be drawn

#DATASET_SCALE,100,200,300,400,500,600,700,800,900,1000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
DATASET_SCALE,100-1st line-#0000ff-5-1-1,200-line at 200-#ff0000-1-0-2,400-3rd line-#00ff00-5-1-1

#dataset color (can be set/changed later in the dataset options)
COLOR,#ffff00

#maximum width ((can be set/changed later in the dataset options)
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, 
#but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#BAR_ZERO specifies which dataset value will be used as a starting point for drawing the bars.
#Dataset values smaller than BAR_ZERO will be displayed to the left (possibly overlapping the tree, unless MARGIN is increased)
BAR_ZERO,0


#actual data follows after the "DATA" keyword
#in simple bar charts, each ID is associated to a single numeric value
DATA
155864,895
83334,829
217992,547
562,740
198215,511
623,122
209261,420
601,996
602,320
229193,709
187410,405
632,241
141679,109
203907,8
36870,22
135842,908
118099,375
98794,620
747,125
727,605
730,404
196600,190
672,126
670,66
666,632
74109,907
70863,350
160488,336
323,903
287,913
183190,686
2371,930
92829,904
340,334
777,343
65699,794
491,358
536,574
520,178
519,110
518,126
305,894
915,464
181661,844
180835,565
382,945
29461,376
29459,274
381,544
1076,995
375,686
155892,682
66077,790
782,559
781,528
85963,823
210,315
32025,591
844,41
197,799
882,981
35554,351
959,85
240015,694
234267,35
76856,301
63363,667
2336,827
262724,572
1299,345
243164,62
103690,283
1148,820
32046,445
84588,540
74547,592
1219,100
59919,123
33072,209
214688,243
117,19
44275,914
173,793
160,145
158,717
139,142
218496,850
203267,645
216816,787
196627,59
1718,590
152794,740
1717,9
1765,84
83331,674
83332,285
1769,790
1770,180
33903,56
1902,937
59374,895
1097,386
837,547
818,52
182082,95
138677,194
115713,727
115711,152
83557,471
83560,727
813,792
119072,684
1513,806
1502,177
1488,280
267748,341
2107,451
2104,943
2097,818
2096,303
28227,318
134821,783
44101,534
100379,119
265669,608
1639,126
1642,412
182710,931
86665,190
226900,730
222523,417
198094,919
1423,542
196620,954
158879,939
158878,572
1282,292
216495,184
216466,822
1314,348
186103,248
198466,39
193567,701
1309,345
171101,378
1313,171
1360,806
1351,535
33959,384
1590,299
296543,673
237895,774
36329,550
4530,813
3702,493
45157,514
44689,991
33169,545
4932,233
4896,132
180454,223
7227,583
31033,846
7955,24
10116,321
10090,570
9606,88
9598,835
9031,341
6239,498
6238,269
5664,136
184922,787
160232,25
111955,40
2287,442
56636,37
13773,142
50339,324
2303,381
187420,663
2320,636
39152,852
2190,931
53953,846
29292,752
2261,288
2234,992
64091,611
2214,782
2209,429
