DATASET_SIMPLEBAR
#lines starting with a hash comments
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA). This separator must be used throught this file.
SEPARATOR COMMA

#label is used in the legend table
DATASET_LABEL,simple2bar testing

#optional settings

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,100,200,300,400,500,600,700,800,900,1000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
DATASET_SCALE,100-1st line-#0000ff-5-1-1,200-line at 200-#ff0000-1-0-2,400-3rd line-#00ff00-5-1-1

#dataset color (can be set/changed later in the dataset options)
COLOR,#ff8933

#maximum width ((can be set/changed later in the dataset options)
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, 
#but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#BAR_ZERO specifies which dataset value will be used as a starting point for drawing the bars.
#Dataset values smaller than BAR_ZERO will be displayed to the left (possibly overlapping the tree, unless MARGIN is increased)
BAR_ZERO,0


#actual data follows after the "DATA" keyword
#in simple bar charts, each ID is associated to a single numeric value
DATA
155864,100
83334,859
217992,487
562,233
198215,525
623,583
209261,131
601,202
602,401
229193,502
187410,361
632,445
141679,188
203907,146
36870,685
135842,26
118099,113
98794,270
747,607
727,863
730,690
196600,663
672,498
670,342
666,766
74109,651
70863,657
160488,426
323,466
287,175
183190,369
2371,328
92829,186
340,507
777,140
65699,877
491,739
536,247
520,450
519,234
518,905
305,33
915,492
181661,904
180835,593
382,437
29461,418
29459,6
381,178
1076,476
375,392
155892,372
66077,114
782,363
781,485
85963,891
210,479
32025,474
844,81
197,536
882,948
35554,763
959,168
240015,149
234267,923
76856,995
63363,70
2336,303
262724,221
1299,684
243164,54
103690,723
1148,860
32046,645
84588,583
74547,668
1219,564
59919,613
33072,758
214688,68
117,294
44275,141
173,237
160,820
158,911
139,703
218496,383
203267,920
216816,575
196627,67
1718,596
152794,606
1717,408
1765,888
83331,421
83332,592
1769,976
1770,322
33903,159
1902,981
59374,961
1097,115
837,333
818,813
182082,914
138677,245
115713,373
115711,814
83557,420
83560,36
813,156
119072,40
1513,519
1502,763
1488,454
267748,162
2107,415
2104,892
2097,240
2096,751
28227,621
134821,410
44101,205
100379,215
265669,513
1639,879
1642,617
182710,487
86665,720
226900,48
222523,80
198094,17
1423,555
196620,75
158879,578
158878,963
1282,401
216495,711
216466,996
1314,488
186103,916
198466,810
193567,510
1309,459
171101,754
1313,377
1360,423
1351,918
33959,719
1590,437
296543,715
237895,518
36329,729
4530,588
3702,730
45157,337
44689,735
33169,432
4932,549
4896,321
180454,96
7227,619
31033,1
7955,767
10116,878
10090,951
9606,877
9598,798
9031,983
6239,183
6238,859
5664,220
184922,405
160232,372
111955,899
2287,850
56636,278
13773,163
50339,34
2303,362
187420,540
2320,850
39152,798
2190,341
53953,110
29292,224
2261,364
2234,135
64091,983
2214,597
2209,949
