DATASET_SIMPLEBAR
#lines starting with a hash comments
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA). This separator must be used throught this file.
SEPARATOR COMMA

#label is used in the legend table
DATASET_LABEL,simple bar testing33

#optional settings

#dataset scale: you can simply set the values where the scale will be drawn

#DATASET_SCALE,100,200,300,400,500,600,700,800,900,1000

#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
DATASET_SCALE,100-1st line-#0000ff-5-1-1,200-line at 200-#ff0000-1-0-2,400-3rd line-#00ff00-5-1-1

#dataset color (can be set/changed later in the dataset options)
COLOR,#7832f3

#maximum width ((can be set/changed later in the dataset options)
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, 
#but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#BAR_ZERO specifies which dataset value will be used as a starting point for drawing the bars.
#Dataset values smaller than BAR_ZERO will be displayed to the left (possibly overlapping the tree, unless MARGIN is increased)
BAR_ZERO,0


#actual data follows after the "DATA" keyword
#in simple bar charts, each ID is associated to a single numeric value
DATA
155864,613
83334,470
217992,487
562,767
198215,922
623,566
209261,945
601,454
602,808
229193,430
187410,510
632,791
141679,576
203907,114
36870,437
135842,544
118099,273
98794,543
747,787
727,2
730,318
196600,962
672,992
670,697
666,478
74109,940
70863,5
160488,429
323,789
287,21
183190,328
2371,706
92829,818
340,423
777,676
65699,725
491,774
536,704
520,818
519,583
518,451
305,252
915,877
181661,764
180835,893
382,764
29461,398
29459,572
381,829
1076,790
375,322
155892,555
66077,357
782,161
781,138
85963,668
210,642
32025,438
844,827
197,309
882,194
35554,368
959,848
240015,961
234267,148
76856,628
63363,376
2336,32
262724,609
1299,879
243164,444
103690,603
1148,719
32046,676
84588,104
74547,405
1219,523
59919,140
33072,901
214688,319
117,84
44275,941
173,687
160,773
158,674
139,340
218496,692
203267,785
216816,182
196627,699
1718,385
152794,680
1717,102
1765,844
83331,529
83332,939
1769,828
1770,794
33903,954
1902,425
59374,21
1097,771
837,900
818,909
182082,295
138677,391
115713,180
115711,246
83557,947
83560,461
813,741
119072,573
1513,514
1502,30
1488,992
267748,619
2107,58
2104,229
2097,41
2096,989
28227,989
134821,566
44101,234
100379,875
265669,338
1639,552
1642,90
182710,308
86665,604
226900,798
222523,299
198094,305
1423,209
196620,921
158879,362
158878,703
1282,584
216495,959
216466,890
1314,161
186103,453
198466,322
193567,660
1309,817
171101,980
1313,493
1360,46
1351,11
33959,464
1590,679
296543,772
237895,44
36329,995
4530,407
3702,981
45157,270
44689,25
33169,845
4932,384
4896,741
180454,976
7227,347
31033,642
7955,505
10116,829
10090,936
9606,918
9598,437
9031,353
6239,725
6238,268
5664,365
184922,121
160232,183
111955,445
2287,592
56636,138
13773,765
50339,303
2303,230
187420,177
2320,324
39152,478
2190,6
53953,821
29292,795
2261,573
2234,994
64091,199
2214,744
2209,606
