DATASET_SYMBOL
#Symbol datasets allow the display of various symbols on the branches of the tree. For each node, one or more symbols can be defined.
#Each symbol's color, size and position along the branch can be specified.

#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_symbols

#dataset color (can be changed later)
COLOR #ffff00

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#


#largest symbol will be displayed with this size, others will be proportionally smaller.
MAXIMUM_SIZE 10


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
#the following fields are required for each node:
#ID,symbol,size,color,fill,position
#symbol should be a number between 1 and 5:
#1: rectangle
#2: circle
#3: star
#4: left pointing triangle
#5: right pointing triangle

#size can be any number. Maximum size in the dataset will be displayed using MAXIMUM_SIZE, while others will be proportionally smaller
#color can be in hexadecimal, RGB or RGBA notation. If RGB or RGBA are used, dataset SEPARATOR cannot be comma.
#fill can be 1 or 0. If set to 0, only the outline of the symbol will be displayed.
#position is a number between 0 and 1 and defines the position of the symbol on the branch (for example, position 0 is exactly at the start of node branch, position 0.5 is in the middle, and position 1 is at the end)

DATA
I149 4 40 rgba(138,18,189,0.8) 1 1 label_I149
I149 5 50 rgba(36,4,25,0.6) 1 0.29 label_I149
I110 2 16 rgba(71,98,218,0.4) 1 0.85 label_I110
I78 5 13 rgba(125,229,120,0.9) 1 0.56 label_I78
I78 4 37 rgba(239,59,8,0.8) 1 0.21 label_I78
I64 5 27 rgba(78,207,121,0.5) 1 0.67 label_I64
I64 5 19 rgba(211,149,100,0.2) 1 0.09 label_I64
I59 2 40 rgba(160,191,181,0.7) 1 0.19 label_I59
I59 1 49 rgba(141,190,136,0.5) 1 0.21 label_I59
I54 2 25 rgba(160,136,197,0.6) 1 0.78 label_I54
I42 4 42 rgba(68,240,38,1.0) 1 0.73 label_I42
I34 4 16 rgba(5,195,177,0.1) 1 1 label_I34
I34 5 42 rgba(39,134,123,0.5) 1 0.23 label_I34
I33 4 39 rgba(212,5,101,0.2) 1 0.59 label_I33
I29 2 19 rgba(146,184,251,0.3) 1 0.67 label_I29
I26 5 35 rgba(86,165,150,0.7) 1 0.73 label_I26
I25 1 31 rgba(29,141,197,0.4) 0 0.88 label_I25
I20 5 48 rgba(94,85,46,0.7) 1 0.35 label_I20
I17 4 16 rgba(76,85,38,0.7) 0 0.69 label_I17
I17 4 30 rgba(181,46,252,1.0) 1 0.97 label_I17
I12 4 26 rgba(198,51,105,0.3) 1 0.45 label_I12
I12 4 44 rgba(209,162,210,0.8) 1 1 label_I12
I8 3 39 rgba(41,181,197,0.2) 1 0.98 label_I8
I5 2 47 rgba(194,41,168,0.2) 1 0.31 label_I5
