	COLLAPSE	PRUNE	SPACING	TREE_COLORS	DATASET_STYLE	LABELS	DATASET_TEXT	DATASET_COLORSTRIP	DATASET_BINARY	DATASET_GRADIENT	DATASET_HEATMAP	DATASET_SYMBOL	DATASET_EXTERNALSHAPE	DATASET_DOMAINS	DATASET_SIMPLEBAR	DATASET_MULTIBAR	DATASET_BOXPLOT	DATASET_LINECHART	DATASET_PIECHART	DATASET_ALIGNMENT	DATASET_CONNECTIONS	DATASET_IMAGE	POPUP_INFO
separator			SEPARATOR TAB	"#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA"	"#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"	"#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA"
dataset name					"DATASET_LABEL,<text>"		"DATASET_LABEL,<text>"	DATASET_LABEL <text>	"DATASET_LABEL,<text>"	DATASET_LABEL <text>	DATASET_LABEL <text>	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	DATASET_LABEL <text>	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	"DATASET_LABEL,<text>"	
dataset color					"COLOR,<hex color>"		"COLOR,<hex color>"	COLOR <hex color>	"COLOR,<hex color>"	COLOR <hex color>	COLOR <hex color>	"COLOR,<hex color>"	"COLOR,<hex color>"	"COLOR,<hex color>"	"COLOR,<hex color>"	"COLOR,<hex color>"	"COLOR,<hex color>"	COLOR <hex color>	"COLOR,<hex color>"	"COLOR,<hex color>"	"COLOR,<hex color>"	"COLOR,<hex color>"	
filed labels									"FIELD_LABELS,<text>,<text>,<text>,É"		FIELD_LABELS <text> <text> <text> É		"FIELD_LABELS,<text>,<text>,<text>,É"			"FIELD_LABELS,<text>,<text>,<text>,É"			"FIELD_LABELS,<text>,<text>,<text>,É"				
filed colors									"FIELD_COLORS,<hex color>,<hex color>,<hex color>,É"				"FIELD_COLORS,<color>,<color>,<color>,É"			"FIELD_COLORS,<color>,<color>,<color>,É"			"FIELD_COLORS,<color>,<color>,<color>,É"				
filed shapes									"FIELD_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,É"														
alignment coloring schemes																				"CUSTOM_COLOR_SCHEME,<scheme name>,A=#d2d0c9,M=#d2d0c9,I=#d2d0c9,L=#d2d0c9,V=#d2d0c9,P=#746f69,G=#746f69,C=#746f69,F=#d0ad16,Y=#d0ad16,W=#d0ad16,S=#34acfb,T=#34acfb,N=#34acfb,Q=#34acfb,R=#34fb54,K=#34fb54,H=#34fb54,D=#fb4034,E=#fb4034"			
highligh references																				"HIGHLIGHT_REFERENCES,<text>,<text>,<text>,É"			
branches color								COLOR_BRANCHES <0/1>															
field tree											FIELD_TREE <Newick tree>												
line colors																		LINE_COLORS <num>|<hex color> <num>|<hex color> <num>|<hex color> É					
axis x																		AXIS_X <num>(|<num>|<hex color>) <num>(|<num>|<hex color>) <num>(|<num>|<hex color>) ...					
axis y																		AXIS_Y <num>(|<num>|<hex color>) <num>(|<num>|<hex color>) <num>(|<num>|<hex color>) É					
data scale														"DATASET_SCALE,<num>(-<text>-<hex color>-<num>-<0/1>-<double[0,inf)>),É"	"DATASET_SCALE,<num>(-<text>-<hex color>-<num>-<0/1>-<double[0,inf)>),É"	"DATASET_SCALE,<num>(-<text>-<hex color>-<num>-<0/1>-<double[0,inf)>),É"	"DATASET_SCALE,<num>(-<text>-<hex color>-<num>-<0/1>-<double[0,inf)>),É"						
legend title					"LEGEND_TITLE,<text>"			LEGEND_TITLE <text>	"LEGEND_TITLE,<text>"	LEGEND_TITLE <text>	"LEGEND_TITLE,<text>"	"LEGEND_TITLE,<text>"	"LEGEND_TITLE,<text>"	"LEGEND_TITLE,<text>"	"LEGEND_TITLE,<text>"	"LEGEND_TITLE,<text>"	"LEGEND_TITLE,<text>"		"LEGEND_TITLE,<text>"		"LEGEND_TITLE,<text>"		
legend position x					"LEGEND_POSITION_X,<num>"			LEGEND_POSITION_X <num>	"LEGEND_POSITION_X,<num>"	LEGEND_POSITION_X <num>	"LEGEND_POSITION_X,<num>"	"LEGEND_POSITION_X,<num>"	"LEGEND_POSITION_X,<num>"	"LEGEND_POSITION_X,<num>"	"LEGEND_POSITION_X,<num>"	"LEGEND_POSITION_X,<num>"	"LEGEND_POSITION_X,<num>"		"LEGEND_POSITION_X,<num>"		"LEGEND_POSITION_X,<num>"		
legend position y					"LEGEND_POSITION_Y,<num>"			LEGEND_POSITION_Y <num>	"LEGEND_POSITION_Y,<num>"	LEGEND_POSITION_Y <num>	"LEGEND_POSITION_Y,<num>"	"LEGEND_POSITION_Y,<num>"	"LEGEND_POSITION_Y,<num>"	"LEGEND_POSITION_Y,<num>"	"LEGEND_POSITION_Y,<num>"	"LEGEND_POSITION_Y,<num>"	"LEGEND_POSITION_Y,<num>"		"LEGEND_POSITION_Y,<num>"		"LEGEND_POSITION_Y,<num>"		
legend horizontal					"LEGEND_HORIZONTAL,<0/1>"			LEGEND_HORIZONTAL <0/1>	"LEGEND_HORIZONTAL,<0/1>"	LEGEND_HORIZONTAL <0/1>	"LEGEND_HORIZONTAL,<0/1>"	"LEGEND_HORIZONTAL,<0/1>"	"LEGEND_HORIZONTAL,<0/1>"	"LEGEND_HORIZONTAL,<0/1>"	"LEGEND_HORIZONTAL,<0/1>"	"LEGEND_HORIZONTAL,<0/1>"	"LEGEND_HORIZONTAL,<0/1>"		"LEGEND_HORIZONTAL,<0/1>"		"LEGEND_HORIZONTAL,<0/1>"		
legend shapes					"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."			"LEGEND_SHAPES <int[1,6]> <int[1,6]> <int[1,6]> ..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."	"LEGEND_SHAPES <int[1,6]> <int[1,6]> <int[1,6]> ..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."	"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."		"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."		"LEGEND_SHAPES,<int[1,6]>,<int[1,6]>,<int[1,6]>,..."		
legend colors					"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"			LEGEND_COLORS <hex rgba color> <hex color> <hex color> É	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"	LEGEND_COLORS <hex rgba color> <hex color> <hex color> É	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"	"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"		"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"		"LEGEND_COLORS,<hex color>,<hex color>,<hex color>,É"		
legend labels					"LEGEND_LABELS,<text>,<text>,<text>,É"			LEGEND_LABELS <text> <text> <text> É	"LEGEND_LABELS,<text>,<text>,<text>,É"	LEGEND_LABELS <text> <text> <text> É	"LEGEND_LABELS,<text>,<text>,<text>,É"	"LEGEND_LABELS,<text>,<text>,<text>,É"	"LEGEND_LABELS,<text>,<text>,<text>,É"	"LEGEND_LABELS,<text>,<text>,<text>,É"	"LEGEND_LABELS,<text>,<text>,<text>,É"	"LEGEND_LABELS,<text>,<text>,<text>,É"	"LEGEND_LABELS,<text>,<text>,<text>,É"		"LEGEND_LABELS,<text>,<text>,<text>,É"		"LEGEND_LABELS,<text>,<text>,<text>,É"		
legend shape scales					"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."			"LEGEND_SHAPE_SCALES <double[0,1]> <double[0,1]> <double[0,1]> ..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."	"LEGEND_SHAPE_SCALES <double[0,1]> <double[0,1]> <double[0,1]> ..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."	"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."		"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."		"LEGEND_SHAPE_SCALES,<double[0,1]>,<double[0,1]>,<double[0,1]>,..."		
strip width								STRIP_WIDTH <num>		STRIP_WIDTH <num>	STRIP_WIDTH <num>												
internal value display							"SHOW_INTERNAL,<0/1>"	SHOW_INTERNAL <0/1>	"SHOW_INTERNAL,<0/1>"	SHOW_INTERNAL <0/1>	SHOW_INTERNAL <0/1>		"SHOW_INTERNAL,<0/1>"	"SHOW_INTERNAL,<0/1>"	"SHOW_INTERNAL,<0/1>"	"SHOW_INTERNAL,<0/1>"	"SHOW_INTERNAL,<0/1>"	SHOW_INTERNAL <0/1>	"SHOW_INTERNAL,<0/1>"			"SHOW_INTERNAL,<0/1>"	
dashed line display									"DASHED_LINES,<0/1>"		DASHED_LINES <0/1>		"DASHED_LINES,<0/1>"	"DASHED_LINES,<0/1>"	"DASHED_LINES,<0/1>"	"DASHED_LINES,<0/1>"	"DASHED_LINES,<0/1>"						
width max														"WIDTH,<num>"	"WIDTH,<num>"	"WIDTH,<num>"	"WIDTH,<num>"	WIDTH <num>					
margin							"MARGIN,<num>"	MARGIN <num>	"MARGIN,<num>"	MARGIN <num>	MARGIN <num>		"MARGIN,<num>"	"MARGIN,<num>"	"MARGIN,<num>"	"MARGIN,<num>"	"MARGIN,<num>"	MARGIN <num>	"MARGIN,<num>"	"MARGIN,<num>"		"MARGIN,<num>"	
align to labels									"ALIGN_TO_LABELS,<0/1>"												"ALIGN_TO_LABELS,<0/1>"		
align fields																"ALIGN_FIELDS,<0/1>"							
align to tree							"ALIGN_TO_TREE,<0/1>"																
height factor									"HEIGHT_FACTOR,<double[0,inf)>"				"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR <double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"				
maxiimum chart size												"MAXIMUM_SIZE,<num>"							"MAXIMUM_SIZE,<num>"				
symbol spacing									"SYMBOL_SPACING,<num>"														
